Date,inflow_FSB,inflow_XFJ
42917,243,313.602336398458
42918,336,284.858295073645
42919,348,301.035741291873
42920,322,396.929065366102
42921,309,503.252590458604
42922,253,548.527818816799
42923,285,523.822713529564
42924,313,423.835829671139
42925,237,394.519877830545
42926,273,375.306545357676
42927,217,333.908290082141
42928,214,274.461916811607
42929,155,234.481737795301
42930,125,221.333031466148
42931,126,209.626348549618
42932,147,189.96909217297
42933,167,184.311687874868
42934,220,230.309579572008
42935,196,313.735952471829
42936,241,384.743324415961
42937,172,421.110447215757
42938,150,361.460094124308
42939,184,331.786774405858
42940,153,274.15071619063
42941,155,240.132425381332
42942,129,224.505215880763
42943,109,194.604234773132
42944,160,182.347090847714
42945,177,174.252299161505
42946,221,160.392256127079
42947,283,147.336861510712
42948,317,139.725108744171
42949,249,124.414130395422
42950,207,122.436845605075
42951,186,123.020151806952
42952,162,127.899555830496
42953,139,127
42954,110,135.360786585909
42955,124,110.819606707045
42956,105,99.4603267042507
42957,112,99.3174695613936
42958,106,120.430078282404
42959,117,145.296015450913
42960,104,141.071888723805
42961,92.2,118.456972446982
42962,98.6,95.8752427103555
42963,109,81.3700921277563
42964,93.3,96.5686605925684
42965,112,66.0727188361654
42966,92.4,61.6291333325715
42967,80.1,62.2141168216047
42968,95.9,71.5824300983283
42969,98.1,74.1786823468906
42970,129,82.4130630839239
42971,113,111.06151738259
42972,83,131.465750472939
42973,113,145.538473474585
42974,243,141.621915451914
42975,181,157.740501207091
42976,167,221.140932619254
42977,126,253.399668720929
42978,89.8,252.049100242278
42979,188,210.783629308509
42980,154,176.082476025334
42981,128,161.385640934713
42982,75.6,159.927981326118
42983,88.2,153.65320576533
42984,65.1,188.150913926287
42985,83.7,241.281267532908
42986,58.1,324.032719621307
42987,68.8,370.417046099929
42988,50.4,357.305133362066
42989,41.5,305.784332386931
42990,91.8,228.379577096129
42991,107,210.188076603498
42992,98.7,176.817953778583
42993,101,148.602492170436
42994,80,106.44448498665
42995,76.4,94.8444849866496
42996,59.2,81.8714285714286
42997,39.7,79
42998,20.8,74.4563289352466
42999,33.5,69.0555150133504
43000,102,66.2840864419219
43001,37,61.926943584779
43002,44.2,71.8
43003,38.2,72.6428571428571
43004,33.9,83.8150996361819
43005,78.9,105.88652820761
43006,70.5,101.17813926525
43007,81.7,83.5419928162139
43008,51.6,69.1027946394397
