Name    Type    Mode     Range(or Set)
GWSO    float    v       5_200
RFTO    float    v       0_365
FCW     int      v       2_50 
FPSO    float    v       0.0001_10
RFPO    float    v       0.5_0.6
CN      float    r       -1_1
APM     float    v       0_1
PARM23  float    v       0.0023_0.0032
PARM34  float    v       0.5_0.6
PARM42  float    v       0.3_2.5
PARM38  float    v       0_1
PARM49  float    v       0_15
PARM50  float    v       0.05_0.3
PARM16  float    v       1_5
PARM25  float    v       0_2
PARM12  float    v       1.5_2.5
PARM20  float    v       0.05_0.4
PARM82  float    v       1_6
PARM40  float    v       0.001_1
PARM15  float    v       0_0.3
PARM17  float    v       0_0.5
PARM46  float    v       0.5_1.5
PARM87  float    v       0.001_1
PARM51  float    v       0.1_0.9
PARM47  float    v       0.5_1.5
PARM18  float    v       1_1.5
PARM92  float    v       0.1_2
PARM1   float    v       0.1_2
PARM5   float    v       0_1
PARM11  float    v       10_30
PARM19  float    v       0.01_0.05
