Name,Filename,Type,LB,UB,Line,Start,Width,Precision,,
GWSO,APEXCONT.DAT,float,5,200,4,25,8,2,,
RFTO,APEXCONT.DAT,float,0,365,4,33,8,2,,
FCW,APEXCONT.DAT,float,2,50,4,9,8,2,,
FPSO,APEXCONT.DAT,float,0.0001,10,4,17,8,2,,
RFPO,APEXCONT.DAT,float,0.5,0.6,4,41,8,2,,
CN,*.OPC,int,1,35,2,1,4,0,,
PARM1,PARM1501.DAT,float,0,1,31,1,8,2,,
PARM5,PARM1501.DAT,float,0.0023,0.003,31,33,8,4,,
PARM11,PARM1501.DAT,float,0.5,0.6,32,1,8,2,,
PARM12,PARM1501.DAT,float,0.3,2.5,32,9,8,1,,
PARM15,PARM1501.DAT,float,0,1,32,33,8,4,,
PARM16,PARM1501.DAT,float,0,15,32,41,8,3,,
PARM17,PARM1501.DAT,float,0.05,0.3,32,49,8,1,,
PARM18,PARM1501.DAT,float,1,5,32,57,8,3,,
PARM19,PARM1501.DAT,float,0,2,32,65,8,3,,
PARM20,PARM1501.DAT,float,1.5,2.5,32,73,8,3,,
PARM23,PARM1501.DAT,float,0.05,0.4,33,17,8,4,,
PARM25,PARM1501.DAT,float,1,6,33,33,8,4,,
PARM34,PARM1501.DAT,float,0.001,1,34,25,8,1,,
PARM38,PARM1501.DAT,float,0,0.3,34,57,8,3,,
PARM40,PARM1501.DAT,float,0,0.5,34,73,8,2,,
PARM42,PARM1501.DAT,float,0.5,1.5,35,9,8,2,,
PARM46,PARM1501.DAT,float,0.001,1,35,41,8,3,,
PARM47,PARM1501.DAT,float,0.1,0.9,35,49,8,3,,
PARM49,PARM1501.DAT,float,0.5,1.5,35,65,8,2,,
PARM50,PARM1501.DAT,float,1,1.5,35,73,8,3,,
PARM51,PARM1501.DAT,float,0.1,2,36,1,8,2,,
PARM82,PARM1501.DAT,float,0.1,2,39,9,8,2,,
PARM87,PARM1501.DAT,float,0,1,39,49,8,3,,
PARM92,PARM1501.DAT,float,10,30,40,9,8,2,,
APM,SIT0713.SIT,float,0.01,0.05,4,25,8,2,,
